App;Tool;Method;Third_Parties;Loc_Addr;Serv_Addr;URL;Error
N/A;MITMPROXY;Response;N/A;192.168.0.113:41356;185.106.33.48:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41500;141.226.228.48:443;-;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41506;35.244.159.8:443;https://taboola-d.openx.net/v/...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41506;35.244.159.8:443;-;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41500;141.226.228.48:443;https://am-wf.taboola.com/Vide...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41500;141.226.228.48:443;-;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41500;141.226.228.48:443;https://am-wf.taboola.com/Vide...;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41500;141.226.228.48:443;https://am-wf.taboola.com/Vide...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41500;141.226.228.48:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41500;141.226.228.48:443;-;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41500;141.226.228.48:443;https://am-wf.taboola.com/Vide...;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41480;141.226.228.48:443;https://am-vid-events.taboola....;-
